percentage,mad,mse,samples
10.0,1.1251280636225727,1.6183324019896115,8
20.0,0.7940746438980321,1.0803575471862454,16
30.0,0.7660995079263778,1.0133212385635983,24
40.0,0.6820918964118104,0.7890855920675607,33
50.0,0.6259482458194076,0.6193245650546431,41
60.0,0.6292537177268919,0.6405227376456634,49
70.0,0.6145667386548216,0.6012144513738361,58
80.0,0.5846434499889803,0.5730422790037011,66
90.0,0.6072000914506906,0.6201945696485189,74
100.0,0.5845633891711247,0.5958222002137487,83
